Comment,Toxic,Urdu,predicted_label
"zameen hamdard hai meri na hamadam aasamaan mera
tera dar chhoot gaya to phir thikaana hai kahaan mera
qasam hai tujh ko, tujh ko qasam hai,
jazbaa-e-dil na jaaye raigaan mera
yahi hai imtahaan teraa, yahi hai imtahaan mera
ek simt muhabbat hai ek simt zamaana
ab aise mein tujh ko dhoondh kar laaoon kahaan se main",0.0, زمین ہمدرد ہے میری نہ ہمدم آسمان میرا تیرا در چھوٹ گیا تو پھر ٹھکانہ ہے کہاں میرا قسم ہے تجھ کو ، تجھ کو قسم ہے ، جذبہ دل نہ جائے رائیگاں میرا یہی ہے امتحان تیرا ، یہی ہے امتحان میرا ایک سمت محبت ہے ایک سمت زمانہ اب ایسے میں تجھ کو ڈھونڈ کر لاؤں کہاں سے میں ,1
Nice brooo,0.0, نائس بروو ,1
Islam khatoon ki izat aur toqeer ka dars deta hai,0.0, اسلام خاتون کی عزت اور توقیر کا درس دیتا ہے ,1
unhon ne kaha ke agenda item number 7 mein sirf Israel aur maqboza Falasteeni ilaqon par tavajjah markooz ki gayi hai,0.0, انہوں نے کہا کہ ایجنڈا آئٹم نمبر 7 میں صرف اسرائیل اور مقبوضہ فلسطینی علاقوں پر توجہ مرکوز کی گئی ہے ,1
Hazrat G dua ki darkhast hai,0.0, حضرت جی دعا کی درخواست ہے ,0
ahan its reality :D :D,0.0, آہاں اٹس ریئلیٹی :D :D ,1
jakir ko zhoot phailane ki phd ki hain uska koi jawanahi,1.0, ذاکر کو جھوٹ پھیلانے کی پی ایچ ڈی کی ہیں اسکا کوئی جوانہیں ,1
whabi kafir khwarg dosroo pr photy ha.apns kuch nzr nhe ata,1.0, وہابی کافر خوارج دوسروں پر پھوٹے ہیں . اپنا کچھ نظر نہیں آتا ,1
Aazmin se khwahish ki gayi hai ke woh bank chalaan' ya cover number ki slip zaroor apne sath layein,0.0, عازمین سے خواہش کی گئی ہے کہ وہ بینک چالان ’ یہ کور نمبر کی سلپ ضرور اپنے ساتھ لائیں ,1
Kinni piye gi?,0.0, کنی پیے گی ؟ ,0
World cup cricket tournament ki trophy jumaraat ko musalsal dosray din Lahore mein shaiqeen cricket ki tawajah ka markaz rahi. Lahore mein Wagha border par trophy ka photo session howa. Trophy ki Shaukat khanam hospital aur government college Lahore mein numayesh ki gayi.,0.0, ولڈ کپ کرکٹ ٹورنامنٹ کی ٹرافی جمعرات کو مسلسل دوسرے دن لاہور میں شائقین کرکٹ کی توجہ کا مرکز رہی . لاہور میں واہگہ بارڈر پر ٹرافی کا فوٹو سیشن ہوا . ٹرافی کی شوکت خانم ہسپتال اور گورنمنٹ کالج لاہور میں نمائش کی گئی . ,1
mc tujhe actor k spelling to aatey nahiab har kisi ko tera level pata hai,1.0, ایم سی تجھے ایکٹر کے سپیلنگ تو آتے نہیں اب ہر کسی کو تیرا لیول پتہ ہے ,1
Raat youn dil main tyri bhuli hui yaad ai...Jysy weerany main chupky sy bahaar a jaye...Agr kbhi stodio main yahi song gaya to share krna...is event ki vedios main shor ki wjah sy voice theak ni thi,0.0, رات یوں دل میں تیری بھولی ہوئی یاد آئی . . . جیسی ویرانے میں چپکے سے بہار آ جائے . . . اگر کبھی سٹوڈیو میں یہی سونگ گایا تو شیئر کرنا . . . اس ایونٹ کی ویڈیوز میں شور کی وجہ سے وائس ٹھیک نہیں تھی ,1
"Cabinet ka ijlaas UAE ke naib sadar, wazeer e azam aur Dubai ke hukmaran Sheikh Mohammad bin Rashed ke zair sadarat huwa",0.0, کابینیٹ کا اجلاس یو اے ای کے نائب صدر ، وزیر اعظم اور دبئی کے حکمران شیخ محمد بن راشد کے زیر صدرات ہوا ,1
jeemain,0.0, جی مین ,0
Madharchod bharva,1.0, مادرچود بھڑوا ,1
Kia koi bata skta hai k yeh Oily Skin waly b use kr skty hain?,0.0, کیا کوئی بتا سکتا ہے کہ یہ اولئی اسکن والے بھی یوز کر سکتی ہیں ؟ ,1
"AlhamduAllah, massage mil rahay hain.",0.0, الحمدلله ، میسج مل رہے ہیں . ,0
"Chinese President ki history Xi Jinping Life Story, Cheen ke maujooda sadar Xi Jinping (shi jin ping) ke bare mein kuch maloomat aap ke liye paish hain umeed hai xi jinping se mutaliq ye information aap ko pasand aye gi. Xi Jinping 1953 mein china ke bare shehar beijing mein paida hue",0.0, چائینز پریذیڈنٹ کی ہسٹری زی جینپینج لائف اسٹوری ، چین کے ماوجودا صدر زی جینپینج ( شی جن پنگ ) کے بارے میں کچھ معلومات آپ کے لیے پیش ہیں امید ہے زی جینپینج سے متعلق یہ انفارمیشن آپ کو پسند آئے گی . زی جینپینج 1953 میں چائنہ کے بڑے شہر بیجنگ میں پیدا ہوئے ,1
Bahan chod dari ki bayhurmati krta hai sharam nahi aati kafir bc,1.0, بہن چود داڑھی کی بے حرمتی کرتا ہے شرم نہیں آتی کافر بی سی ,1
Dekha jaye to Shahbaz sharif nay mulki saisat mein is hud tak kirdar ada nahi kiya jis hud tak woh kar saktay hain,0.0, دیکھا جائے تو شہباز شریف نے ملکی سیاست میں اس حد تک کردار ادا نہیں کیا جس حد تک وہ کر سکتے ہیں ,1
Oho wow,0.0, اوہو واؤ ,1
Rahmet ne Jahangir Khan ko dobara Squash kort mein lane mein aham kirdar ada keya Rahmet ko yeh andaza tha ke Jahangir mein khudad salahyatein maujood hain aur umda training aur coatching sey un ke khail mein mazeed nikhar paida ho sakta hai,0.0, رحمت نے جہانگیر خان کو دوبارہ اسکواش کورٹ میں لانے میں اہم کردار ادا کیا رحمت کو یہ اندازہ تھا کہ جہانگیر میں خداداد صلاحیتیں موجود ہیں اور عمدہ ٹریننگ اور کوچنگ سے ان کے کھیل میں مزید نکھار پیدا ہو سکتا ہے ,1
Me chodunga baby,1.0, میں چودونگا بےبی ,1
is khatoon ne passport ke shuru ke safhon par phone numbers likhay,0.0, اس خاتون نے پاسپورٹ کے شروع کے صفحوں پر فون نمبرز لکھے ,1
Allah aur taraki de,0.0, اللہ اور ترقی دے ,1
"meri gustaakh nazaren jhuk gayi
ab to taras khaao
chalo ab maan bhi jaao
hamaare paas to aao ...",0.0, میری گستاخ نظریں جھک گئی اب تو ترس کھاؤ چلو اب من بھی جاؤ ہمارے پاس تو آؤ . . . ,1
Higgins ne inaam ki raqam paate hi fauri apni mulazimat se istifa day diya,0.0, حیگگینز نے انعام کی رقم پاتے ہی فوری اپنی ملازمت سے استعفیْ دے دیا ,1
Johnsburg: Junoobi Africa mein namaloom bandooq bardaroon ny 11 taxi driveron ko firing kar ke mout ke ghaat utaar diya,0.0, جوہنسبرگ : جنوبی افریقہ میں نامعلوم بندوق برداروں نے 11 ٹیکسی ڈرائیوروں کو فائرنگ کر کے موت کے گھات اتار دیا ,1
Bharti adakar Shahid Kapoor beti ke baad betay ke bhi baap ban gaye taham betay ki paidaiesh par un ki ahliya mera Rajpot to bohat khush hain lekin Shahid Kapoor ki khusihyan kuch maand par gayi hain .,0.0, بھارتی اداکار شاہد کپور بیٹی کے بعد بیٹے کے بھی باپ بن گئے تاہم بیٹے کی پیدائش پر ان کی اہلیہ میرا راجپوت تو بہت خوش ہیں لیکن شاہد کپور کی خوشیاں کچھ ماند پر گئی ہیں . ,1
Chichorey log,1.0, چھچھورے لوگ ,1
Tariq Anwar ney kaha Mr,0.0, طارق انور نے کہا مسٹر ,1
Wifaqi wazeer it-tila-aat Fawad Chaudhary ne qaumi assembly ke ijlaas mein dhuwan dhaar taqreer karte hue kaha hai ke dakoun ko daku nah kahin to kya kahin ?,0.0, وفاقی وزیر اطلاعات فواد چوہدری نے قومی اسمبلی کے اجلاس میں دھواں دھار تقریر کرتے ہوئے کہا ہے کہ ڈاکوؤں کو ڈاکو نہ کہیں تو کیا کہیں ؟ ,1
Baad azan woh YSR Congress party mein shaamil hogaye thea,0.0, بعد ازاں وہ وائے سی آر کانگریس پارٹی میں شامل ہوگئے تھے ,1
Khaimay mein wapas aaya to pata chala ke uski belt gayab hai,0.0, خیمے میں واپس آیا تو پتا چلا کہ اسکی بیلٹ غائب ہے ,1
Bahut acchi thanks mam,0.0, بہت اچھی تھینکس میم ,0
Unhon ney kaha ke 2007 mein jab Mulk ke liye 126 fighters ki zaroorat thi jab ke uss waqt China aur Pakistan se jung ke khatraat kam thae aur ab jabkay yeh khatrah badh gaya hai magar Modi hukoomat ney fighters ki tadaad ghatadi,0.0, انہوں نے کہا کہ 2007 میں جب ملک کے لیے 126 فائیٹرز کی ضرورت تھی جب کہ اس وقت چائنہ اور پاکستان سے جنگ کے خطرات کم تھے اور اب جب کہ یہ خطرہ بڑھ گیا ہے مگر موڈی حکومت نے فائیٹرز کی تعداد گھٹادی ,1
"mazeed tashweesh ki baat yeh hai ke 2017 may khatarnaak hadd tak maqrooz mumalik ki tadaad 119 thi, jo 2019 maymazeed teen mumalik ke izafay ke sath 122 ho chuki hai",0.0, مزید تشویش کی بات یہ ہے کہ 2017 میں خطرناک حد تک مقروض ممالک کی تعداد 119 تھی ، جو 2019 میں مزید تین ممالک کے اضافے کے ساتھ 122 ہو چکی ہے ,1
"Mujhe Tum Chupke Chupke Jab Aise Dekhti Ho
Achchi Lagti Ho
Kabhi Zulfon Se Kabhi Aanchal Se Jab Khelti Ho
Achchi Lagti Ho
Mujhe Dekhke Jab Tum Yuh Thandi Aahe Bharte Ho
Achche Lagte Ho
Mujhko Jab Lagta Hai Tum Mujhpar Hi Marte Ho
Achche Lagte Ho
Tum Mein Ay Meherbaan
Sari Hai Khoobiyan Mere Itne Sare Naam Hai Jab Tum Yeh Kehte Ho",0.0, مجھے تم چپکے چپکے جب ایسے دیکھتی ہو اچھی لگتی ہو کبھی زلفوں سے کبھی آنچل سے جب کھیلتی ہو اچھی لگتی ہو مجھے دیکھ کے جب تم یوں ٹھندی آہیں بھرتے ہو اچھے لگتے ہو مجھ کو جب لگتا ہے تم مجھ پر ہی مرتے ہو اچھے لگتے ہو تم میں اے مہربان ساری ہے خوبیاں میرے اتنے سارے نام ہے جب تم یہ کہتے ہو ,1
kabhi gulzar sikabhi bezar sikabhi khushi hamare sath sathkabhi ghamon ki barsat sikabhi tofaan mein bhi hein rastekabhi manzilon ka pata nahikabhi do qadam pe zindagikabhi saddion tak intizar sikabhi har pal imtihan hai kabhi bin mange inaam si,0.0, کبھی گلزار سکابحی بیزار سکابحی خوشی ہمارے ساتھ ساتحکابحی غموں کی برسات سکابحی طوفان میں بھی ہیں راستیکابحی منزلوں کا پتہ ناحیکابحی دو قدم پہ زندگیکابحی سادیون تک انتظار سکابحی ہر پل امتحان ہے کبھی بن مانگے انعام سی ,1
Nand Kumar Baghel ne kaha ke woh wazeer-e-aazam Narendra Modi ke khilaaf lok sabha election ladinge,0.0, نند کمار بگھیل نے کہا کہ وہ وزیر عظم نریندرا مودی کے خلاف لوک سبھا الیکشن لڑیں گے ,1
"--FEMALE--
Main sochoon haan kar doon, dil bole na kar de
Dil bole haan kar de, main sochoon na kar de
Haan, main sochoon haan kar doon, dil bole na kar de
Dil bole haan kar de, main sochoon na kar de",0.0, --فیمیل-- میں سوچوں ہاں کر دوں ، دل بولے نہ کر دے دل بولے ہاں کر دے ، میں سوچوں نہ کر دے ہاں ، میں سوچوں ہاں کر دوں ، دل بولے نہ کر دے دل بولے ہاں کر دے ، میں سوچوں نہ کر دے ,1
na ghila kreinge na shikwa kreinge humab apni he zindage jia kreinge humshikha dia hai tanhayon ne buht kuchab apni he zindagi jia krenige humchahtay hain aur chahtay rahaeinge tujhetre siwa ab ksi ko na chahaeinge hum,0.0, نا گلہ کریینجی نا شکوہ کریینجی ہماب اپنی ہے زندگی جیا کریینجی ہمشیخا دیا ہے تنہائیوں نے بہت کوچاب اپنی ہے زندگی جیا کرینیجی ہمچاحتے ہیں اور چاہتے راحایینجی توجحیتری سوا اب کسی کو نا چاحایینجی ہم ,1
main kb bnuge kamyaab aurat?,0.0, میں کب بنوں گی کامیاب عورت ؟ ,1
"8 March ko agar khawateen ko un ke hoqoq dene ki baat hoti hai to har satah par is azam ka izhar bhi zarori hai ke bahesiyat insan khatoon ko izat aur masawi hesiyat dena ho gi,khatoon ke khilaf hone wali istehsaal aur har shakal ke tashdud ko jar se ukharna ho ga",0.0, 8 مارچ کو اگر خواتین کو ان کے حقوق دینے کی بات ہوتی ہے تو ہر سطح پر اس اعظم کا اظہار بھی ضروری ہے کہ بحیثیت انسان خاتون کو عزت اور مساوی حیثیت دینا ہو گی ، خاتون کے خلاف ہونے والی اِستحصال اور ہر شکل کے تشدد کو جڑ سے اکھاڑنا ہو گا ,1
Sab say wayat adme tum khud ho kashmir ma kitnay muzlomu co mara anda keya hamaray sat wada khalafe keya self determenation ka,1.0, سب سے وایات آدمی تم خود ہو کشمیر میں کتنے مظلوموں کو مارا انڈا کیا ہمارے ساتھ وعدہ خلافی کیا سیلف ڈیٹرمینیشن کا ,1
Iss gane ke jindagi shabd se ek sayari yaad aaya  jindagi me kabhi kisi se pyar nahi karna galti se ho Jaye to inkar na karna nibha sako to nibhana dosto varna kisi ki jandagi bekar nahi karna  accha laga ho to like kare,0.0, اس گانے کے زندگی شبد سے اک شعر یاد آیا زندگی میں کبھی کسی سے پیار نہیں کرنا غلطی سے ہو جائے تو انکار نا کرنا نبھا سکو تو نبھانا دوستو ورنہ کسی کی زندگی بیکار نہیں کرنا اچھا لگا ہو تو لائک کرے ,1
abdul kareem doctar zakir nalaik ny kesi deni subjct mai ptd nei ke is k pas hai kia? is bhenchood ny yazeed par book likhi jis mai os ko razi allah han o likha mai khod phely is ko sunta tha lakin is ka pata elim ke donia sy saaf hai.hindu ny jo dosra sawal kia os ke matlab wo nei jo doctar sahib ny kaha.allah farmata hai k khabar shaheed ko morda mat kaho ya zinda han.ak jagha par allah farmata hai mai inhen rizk deta hoon.na is mai ishiq rasool hai na ya toheed kesi dang sy beyan karta hai.jo husain or yazeed ko ak samjy ham osy kia samjty han.,1.0, عبدل کریم ڈاکٹر ذاکر نالائق نے کیسی دینی سبجکٹ میں پی ٹی ڈی نہیں کی اس کے پاس ہے کیا ؟ اس بحنچود نے یزید پر بُک لکھی جس میں اس کو رضی اللہ ہن او لکھا میں خود پہلے اس کو سنتا تھا لیکن اس کا پتہ علم کی دنیا سے صاف ہے . ہندو نے جو دوسرا سوال کیا اس کے مطلب وہ نہیں جو ڈاکٹر صاحب نے کہا . اللہ فرماتا ہے کہ خبر شہید کو مردہ مت کہو یہ زندہ ہیں . اک جگہ پر اللہ فرماتا ہے میں انہیں رزق دیتا ہوں . نا اس میں عشقِ رسول ہے نا یہ توحید کیسی ڈھنگ سے بیان کرتا ہے . جو حسین اور یزید کو اک سمجھے ہم اسے کیا سمجھتے ہیں . ,1
GAURAV SINGH Tare Bhanchod Raha Hoon,1.0, گروو سنگھ تیری بہنچود رہا ہوں ,1
"aaa re aaa, aaa aaa aaa aaa, aaa aaa aaa aaa
duniya na bhaaye mohe ab to bulaa le (2)
charanon mein (2) tere charanon mein",0.0, آ رے آ ، آ آ آ آ ، آ آ آ آ دنیا نہ بحاایی محی اب تو بلا لے ( 2 ) چارانون میں ( 2 ) تیرے چارانون میں ,1
Jaipur : Rajasthan mein in dinon shadeed garmi aur loo ka qehar jari hai aur is haftay is se raahat milnay ka imkaan nahi aur peenay ke pani ka bohraan bhi badhta ja raha hai,0.0, جے پور : راجھستان میں ان دنوں شدید گرمی اور لو کا قہر جاری ہے اور اس ہفتے اس سے راحت ملنے کا امکان نہیں اور پینے کے پانی کا بحران بھی بڑھتا جا رہا ہے ,1
As chij ke upar,0.0, اس چیز کے اوپر ,1
let me announce a gang war on your sis ;) phudi n roz her kuss par apne dick sy khrak karoon,1.0, لیٹ میں اناؤنس اے گینگ وار آن یور سس ; ) پھدی این روز ہر کس پر اپنے ڈک سے کھڑاک کروں ,1
ais pay koi baat nahi karta,0.0, اس پے کوئی بات نہیں کرتا ,1
Mri nakal chor ,0.0, میری نقل چھوڑ ,0
Markaz ke jawab ka intzaar,0.0, مرکز کے جواب کا انتظار ,0
"Ye galiyan apni ye raste apne kaun aayega apne aage
Hey raahon mein humse takrayega jo hat jayega vo ghabraake
Yahan ke hum sikandar
Chaahein to rakh lein sab ko apni jeb ke andar
Arre humse bachke rehna mere yaar
Nahin samjhe hai vo humein to kya jaata hai
Haari baazi ko jeetna humein aata hai",0.0, یہ گلیاں اپنی یہ راستے اپنے کون آئیگا اپنے آگے ہے رہوں میں ہم سے ٹکرایگا جو ہٹ جائیگا وہ گھبراکے یہاں کے ہم سکندر چاہیں تو رکھ لیں سب کو اپنی جیب کے اندر ارے ہم سے بچکے رہنا میرے یار نہیں سمجھے ہے وہ ہمیں تو کیا جاتا ہے ہری بازی کو جیتنا ہمیں آتا ہے ,1
