Comment,Toxic,Urdu,predicted_label
sadrnasheen Rajia sabha ko jab tehreek ehatasab paish kar di jati hai to woh is ki merritt ka jaiza letay hain ke aaya ewaan baala mein yeh notice paish ki jani chahiye ya nahi,0, صدرنشین راجیہ صبہہ کو جب تحریک احتساب پیش کر دی جاتی ہے تو وہ اس کی میرٹ کا جائزہ لیتے ہیں کہ آیا ایوان بالا میں یہ نوٹس پیش کی جانی چاہئے یا نہیں ,0
IK to inse wese bh NH darta q k ye iske khalazad bhai hen,0, اک تو ان سے ویسے بھی نہیں ڈرتا کیوں کہ یہ اس کے خالازاد بھائی ہیں ,0
Moqay py choka,0, موقعے پے چوکا ,0
Dono dhamakon mein majmoyi taur par 42 log halaak hogaye thae jab key 50 se zayed zakhmi hogaye thae,0, دونوں دھماکوں میں مجموعی طور پر 42 لوگ ہلاک ہوگئے تھے جب کہ 50 سے زائد زخمی ہوگئے تھے ,0
Apni uhad ke nihayat pur soz aur surile golokara Zenat Begum ke gale se ese ese Urdu aur Punjabi geet gawaye jis ki missal milna mushkail hai,0, اپنی عہد کے نہایت پر سوز اور سوریلی گلوکارہ زینت بیگم کے گلے سے ایسی ایسی اردو اور پنجابی گیت گوائی جس کی مثال ملنا مشکل ہے ,0
ALLAH n farmaya shaheed Allah K Han h or Apna rizq paa raha h,0, اللہ نے فرمایا شہید اللہ کے ہاں ہے اور اپنا رزق پا رہا ہے ,0
Lara apne 11 behan bhaiyyon mein 10th number par hain,0, لارا اپنے 11 بہن بھائیوں میں 10تھ نمبر پر ہیں ,0
"Bhaiyon ye ""Ilm-e-Haq"" channel RSS ka chalaya hua hai. Ye musalmaano mein phoot dalkar unhen tabah karna chahte hain. Isko zyada se zyada dislike karo.",0," بھائیوں یہ "" علم حق "" چینل آر ایس ایس کا چلایا ہوا ہے . یہ مسلمانوں میں پھوٹ ڈال کر انہیں تباہ کرنا چاہتے ہیں . اسکو زیادہ سے زیادہ ڈسلائک کرو . ",0
Aweome yaar...u r just aweosme....aise hi lage raho...in over acters ko sabi sabaq sikhana hi chahiye,0, آوسم یار . . . یو آر جسٹ آوسم . . . . ایسے ہی لگے رہو . . . ان اوور ایکٹرز کو سبی سبق سکھانا ہی چاہیے ,0
Chandrashekar Rao ney aaj Gajwel mein 'Telangana ko Haritha Haram' programme ke chouthay marhala ka aaghaz kya,0, چندرشیکھر راؤ نے آج گجویل میں ’ تیلنگانا کو ہرتھا ہرم ’ پروگرام کے چوتھے مرحلے کا آغاز کیا ,0
Is tara ka biyan to bachy daty han ton mard ban jb pak Armi na tari mari to chekh raha ta likn tm nh sudro ga,1, اس طرح کا بیان تو بچے دیتے ہیں توں مرد بن جب پاک آرمی نے تیری ماری تو چیخ رہا تا لیکن تم نہیں سدھرو گے ,0
"hona tha jo hua jo hua kya bura hua
hona tha jo hua jo hua kya bura hua kya bura hua
achha hi hua toot gaya jhootha aitbaar
ab kis ka intezaar aji kaisa intezaar
woh woh na rahe",0, ھونا تھا جو ہوا جو ہوا کیا برا ہوا ھونا تھا جو ہوا جو ہوا کیا برا ہوا کیا برا ہوا اچھا ہی ہوا ٹوٹ گیا جھوٹا اعتبار اب کس کا انتظار اجی کیسا انتظار وہ وہ نہ رہے ,0
Your voice is best,0, یور وائس از بیسٹ ,0
"kahaan ho tum kahaan ho tum kahaan ho tum kahaan ho tum
aye haye aye haye haye chikini",0, کہاں ہو تم کہاں ہو تم کہاں ہو تم کہاں ہو تم آئے ہائے آئے ہائے ہائے چیکینی ,0
1971 mein Sire county 13 saal bad county champion bani to us mein Intikhab Alam ki umdah bowling ka bhi dakhal tha,0, 1971 میں سائر کاؤنٹی 13 سال بعد کاؤنٹی چیمپین بنے تو اس میں انتخاب عالم کی عمدہ باؤلنگ کا بھی داخل تھا ,0
heera mandi women,1, ہیرا منڈی ویمن ,0
dusron ko jhuta aur kazzab keh dena bara asaan hy lekin dalayel aur saboot pesh krna jo valid b hu bahot mushkil kam hy. Ye mardood kazzab ya tum agar sachay ho to meri kissi ek bat ko saboot aur dalayel se challenge kr k radd kro. Idr udr ki to mae b bahot suna skta hu lekin ye adat ni hy meri.,0, دوسروں کو جھوٹا اور کذاب کہہ دینا بڑا آسان ہے لیکن دلائل اور ثبوت پیش کرنا جو ویلڈ بی ہو بہت مشکل کام ہے . یہ مردود کذاب یا تم اگر سچے ہو تو میری کسی اک بات کو ثبوت اور دلائل سے چیلنج کر کے رد کرو . ادھر ادھر کی تو میں بھی بہت سنا سکتا ہوں لیکن یہ عادت نہیں ہے میری . ,0
"Tasveer teri dil me, jis din se utari hai",0, تصویر تیری دل میں ، جس دن سے اتری ہے ,0
Unhain dahshatgard aur qatil tak kaha gaya hai,1, انہیں دہشتگرد اور قاتل تک کہا گیا ہے ,0
"Commissionaire Karachi Saleh Ahmed Farooqi ney ijlaas ko tajawazat ke khilaaf ki gayi karwayyon se mutaliq aagahi daal y, d aayi jee Javed aalam avdho ney bataya ke",0, کمشنر کراچی صالح احمد فاروقی نے اجلاس کو تجاوزات کے خلاف کی گئی کاروائیوں سے متعلق آگاہی ڈال وائے ، ڈ آئی جی جاوید عالم اوڑو نے بتایا کہ ,0
tableeghi jamaat mein teen qisam ke bhai hain 1 kisi se baet hain 2 kisi se baet nahi aur baet ki nifi bhi nahi karte yeh dono qisam ke tableeghi kamyaab hain 3 kisi se baet nahi aur baet ki nifi bhi karte hain yeh gumraah hain inka aqeedah kharab hai,0, تبلیغی جماعت میں تین قسم کے بھائی ہیں 1 کسی سے بیعت ہیں 2 کسی سے بیعت نہیں اور بیعت کی نفی بھی نہیں کرتے یہ دونوں قسم کے تبلیغی کامیاب ہیں 3 کسی سے بیعت نہیں اور بیعت کی نفی بھی کرتے ہیں یہ گمراہ ہیں انکا عقیدہ خراب ہے ,0
"hamein duniyaa ko dil ke zakhm dikhalaanaa nahiin aataa
tadap lete hain lekin unako tadapaanaa nahiin aataa
hamein duniyaa ko dil ke zakhm dikhalaanaa nahiin aataa",0, ہمیں دنیا کو دل کے زخم دکھلانا نہیں آتا تڑپ لیتے ہیں لیکن ان کو تڑپانا نہیں آتا ہمیں دنیا کو دل کے زخم دکھلانا نہیں آتا ,0
 Tower ke sab se buland maqam ko Shirfa kaha jata hai yahan pohanch kar zaireen haram shareef ka fazai mushahida kar saktay hain,0, ٹاور کے سب سے بلند مقام کو شرفہ کہا جاتا ہے یہاں پہنچ کر زائرین حرم شریف کا فضائی مشاہدہ کر سکتے ہیں ,0
Yu,0, یو ,0
or is ko kog deane party ka leader kehtay hn,0, اور اس کو کوگ دینے پارٹی کا لیڈر کہتے ہیں ,0
U done great job bro,0, یو ڈن گریٹ جاب برو ,0
"Kis Liye Jeete Hain Hum Kiske Liye Jeete Hain
Baarha Aise Sawalat Pe Rona Aaya
Kabhi Khud Pe...",0, کس لیے جیتے ہیں ہم کس کے لیے جیتے ہیں بڑھا ایسے سوالات پہ رونا آیا کبھی خود پہ . . . ,0
rizvi sahab you are right,0, رضوی صاحب یو آر رائٹ ,0
Haal hi mein jari ki gayi yeh report aqwam-e-mutahidda ki janib se satah samandar mein izafay se mutaliq jari kiye gaye andazay se dugni hai,0, حال ہی میں جاری کی گئی یہ رپورٹ عکوام متحدہ کی جانب سے سطح سمندر میں اضافے سے متعلق جاری کیے گئے اندازے سے دگنی ہے ,0
Hahaha dear proper dupata kr lo very good video,0, ہاہاہا ڈیئر پروپر دوپٹہ کر لو ویری گڈ ویڈیو ,0
Parhe likhe jahil pak librals khud ko bht bara muslman samhjte hain muslman k nam pr dhabba ho tm log.,1, پڑھے لکھے جاہل پاک لیبرلز خود کو بہت بڑا مسلمان سمحھتے ہیں مسلمان کے نام پر دھبہ ہو تم لوگ . ,0
Mtlb khd ko,0, مطلب خود کو ,0
Irani Boxer Sadaf Giraftari Ke Warrant Ke Baad Watan Wapsi Ka Iradah Tark Kardiya,0, ایرانی باکسر صدف گرفتاری کے وارنٹ کے بعد وطن واپسی کا ارادہ ترک کر دیا ,0
You still wana umer akmal ? After his rude attitude with captain,0, یو اسٹل وانا عمر اکمل ؟ آفٹر ہز روڈ اٹیٹوڈ ود کیپٹن ,1
" Spot fixing se mutaliq Shahid afridi ne apni kitaab mein bayan kiya hai ke unhein spot fixing scandal ka bohat pehlay ilm hogaya tha, Mazhar Majeed ne phone marammat ke liye London mein ek dukaan par diya tha jis se Pakistani khiladion ko kiye  gay paighamaat miley",0, اسپاٹ فکسنگ سے متعلق شاہدآفریدی نے اپنی کتاب میں بیان کیا ہے کہ انہیں اسپاٹ فکسنگ اسیکنڈل کا بہت پہلے علم ہوگیا تھا ، مظہر مجید نے فون مراممت کے لیے لندن میں ایک دکان پر دیا تھا جس سے پاکستانی کھلاڑیوں کو کیے گے پیغامات ملے ,1
"Log Us Waqt Bhi Razay Rakhty ThyJab Bijli Ejaad Nahi Hui THi,,Is Liye Khamoshi Se Rozay Rakhen,,Ziyada Tarr Tarr Na Karen..From:-WAPDA...;-p",0, لوگ اس وقت بھی رضائے رکھتے تھیجاب بجلی ایجاد نہیں ہوئی تھی ، ، اس لیے خاموشی سے روزے رکھیں ، ، زیادہ تار تار نا کریں . . فروم : -واپدا . . . ; -پ ,0
@truth _seeker why muaviya r.a send lanat on hazrat ali ...? Hum ali wale h muaviya r.a ka fesla allah k hawale but wo sehabi h isiliye hum respect krte h unki,0, @ ٹروتھ _سیکر وائے معاویہ رضی اللہ عنہ سینڈ لعنت آن حضرت علی . . . ؟ ہم علی والے ہیں معاویہ رضی اللہ عنہ کا فیصلہ اللہ کے حوالے بٹ وہ صحابی ہیں اسلیے ہم ریسپیکٹ کرتی ہیں انکی ,0
Aurrrr,0, اور ,0
Ye waqiya zila Suryapet may pesh aaya,0, یہ واقعہ ضلع سوریاپت میں پیش آیا ,0
 jinhon ne tweet karkay logon ko yaqeen dilanay ki koshish ki ke is masode par amal daraamad se pehlay is ka jaiza liya jayega,0, جنہوں نے ٹویٹ کرکے لوگوں کو یقین دلانے کی کوشش کی کہ اس مسودے پر عمل درآمد سے پہلے اس کا جائزہ لیا جائیگا ,1
"Maryam aurang Zaib ne yeh bhi kaha ke Muslim League (N) ne qanoon ki hukmarani ki misaal qaim ki hai, jab hukoomat is terhan ke iqdamaat kere gi to kaarkunon ka yeh radd amal fitri hai .",0, مریم اورنگ زیب نے یہ بھی کہا کہ مسلم لیگ ( ن ) نے قانون کی حکمرانی کی مثال قائم کی ہے ، جب حکومت اس طرح کے اقدامات کرے گی تو کارکنوں کا یہ رد عمل فتری ہے . ,0
"Gesu Khule To Shaam Ke Dil Se Dhuan Uthe
Chhule Kadam To Jhukke Na Phir Aasman Uthe
Sau Baar Jhilmilaye Shama Aaftab Ki
Ab Kya Misaal Doon...",0, گھیسو کھلے تو شام کے دل سے دھواں اٹھے چھولے قدم تو جھکی نہ پھر آسمان اٹھے سو بار جھلملائے شمع آفتاب کی اب کیا مثال دوں . . . ,0
jamea imam Abdul Rehman ban Faisal ke camps ki hudood hi mein khawateen ko driving ki nazri aur amli tarbiyat di ja rahi hai,0, جامعہ امام عبدالرحمن بن فیصل کے کیمپس کی حدود ہی میں خواتین کو ڈرائیونگ کی نظری اور عملی تربیت دی جا رہی ہے ,0
Israeli Faujion ney jummey ke roz Palestine ke ilaqa Gaza ki sarhad par mukhtalif waqhiyat mein aik 12 sala ladke samait teen Falastinyon ko goli maar kar shaheed kar diya,0, اسرائیلی فوجیوں نے جمعے کے روز فلسطین کے علاقے غزہ کی سرحد پر مختلف واقعات میں ایک 12 سالہ لڑکے سمیت تین فلسطینیوں کو گولی مار کر شہید کر دیا ,0
"is mauqa par Israeli fouj ne muzahireen par seedhi golion se fayrng ki, aansogis ka be daregh istemaal kya aur dhaati golion se bhi muzahireen ko nishana banaya",0, اس موقع پر اسرائیلی فوج نے مظاہرین پر سیدھی گولیوں سے فائرنگ کی ، آنسوگیس کا بے دریغ استعمال کیا اور دھاتی گولیوں سے بھی مظاہرین کو نشانہ بنایا ,0
Aam aadmi party bhi saat nishistoun ke liye pehlay hi umeedwaron ke naamon ka elaan kar chuki hai,0, عام آدمی پارٹی بھی سات نشستوں کے لیے پہلے ہی امیدواروں کے ناموں کا اعلان کر چکی ہے ,0
kaliyaan,0, کلیاں ,0
is ke baad phir ek baar unke tevar badlay hue nazar arhay hain,0, اس کے بعد پھر ایک بار ان کے تیور بدلے ہوئے نظر آرہے ہیں ,0
Ibtidayi tahaqeeq ke baad maloom sun hua ke Saudi arab ki airport mein cargo section mein ghalti ki wajah se Srilanka ki yeh khatoon ki laash Kerala pohanch gayi jabkay Srilanka se talluq rakhnay wali khatoon ke alawa yahan ke muqami afraad ne bhi is tarhan ki police mein shikayat darj ki ke inhen dosray shakhs ki laash di gayi hai,0, ابتدائی تحقیق کے بعد معلوم سن ہوا کے سعودی عرب کی ایئرپورٹ میں کارگو سیکشن میں غلطی کی وجہ سے سری لنکا کی یہ خاتون کی لاش کریلہ پہنچ گئی جب کہ سری لنکا سے تعلق رکھنے والی خاتون کے علاوہ یہاں کے مقامی افراد نے بھی اس طرح کی پولیس میں شکایت درج کی کہ انہیں دوسرے شخص کی لاش دی گئی ہے ,0
2 saal sirf flirt kia hay ya kuch aur bhi?,1, 2 سال صرف فلرٹ کیا ہے یا کچھ اور بھی ؟ ,0
Haha tu sala blood relation m hi fnsa rh,1, ہاہا تو سالا بلڈ رلیشن میں ہی پھنسا رہ ,0
A. Asking for,0, آ . آسکنگ فور ,0
wah kya bat ha,0, واہ کیابات ہے ,0
Talaq karwane wali aunty nida yasir,1, طلاق کروانے والی آنٹی ندا یاسر ,0
Hamara bohat shor sharabe wala ghar hai aur bachon ke sath hamare talluqat bohat sidhe aur aasaan hai.,0, ہمارا بہت شور شرابے والا گھر ہے اور بچوں کے ساتھ ہمارے تعلقات بہت سیدھے اور آسان ہے . ,0
Kutte ka bacha hai zakir ka bacha,1, کتے کا بچہ ہے ذاکر کا بچہ ,0
JAI hind I don't see any comments from Indians here bcos yaha koi religion se related baat nahi chal rahi..,0, جے ہند آئی ڈونٹ سی اینی کمنٹس فروم انڈینز ہیئر بکاز یہاں کوئی رلیجن سے رلیٹڈ بات نہیں چل رہی . . ,1
mutasirah khandan ki appeal par adalat Uzma ne muqadma ki samaat Kathua se pathan coat muntakil kar di thi jo Kathua se 30 kilometer ke faasla par hai,0, متاثرہ خاندان کی اپیل پر عدالت عظمٰی نے مقدمے کی سماعت کاتھووا سے پٹھان کوٹ منتقل کر دی تھی جو کاتھووا سے 30 کلومیٹر کے فاصلہ پر ہے ,0
Allah apka hami o nasir rahy amin!,0, اللہ آپکا حامی و ناصر رہے آمین ! ,0
Tajarbaat se saabit huwa hai ke Aspirin ney khawateen ke rahem aur tauleedi nizaam mein HIV se mutasir honay walay khaliyaat ki tadaad mein 35 feesad tak kami kar di,0, تجربات سے ثابت ہوا ہے کہ ایسپرین نے خواتین کے رحم اور تولیدی نظام میں ایچ آئی وی سے متاثر ہونے والے خلیات کی تعداد میں 35 فیصد تک کمی کر دی ,0
Haramkhor navjot shidhu Singh sala,1, حرام خور نوجوت سدھو سنگھ سالا ,0
Asif jahi hukmraanon ne shehar mein pukhta sarkain bichenay ke liye concrete ka istemaal kya karte they aur jab yeh aik martaba bicha diye jatay to phir kayee barson taq un ki murammat ki zaroorat paish nahi aati aur aaj yeh haal hai ke sarrak bichaya aik baras bhi nahi guzarta ke jagah jagah un par khad pad jaate hain aur rahrawoon ka guzar mushkil ban jata hai,0, آصف جاہی حکمرانوں نے شہر میں پختہ سڑکیں بچھانے کے لیے کنکریٹ کا استعمال کیا کرتے تھے اور جب یہ ایک مرتبہ بچھا دیئے جاتے تو پھر کئی برسوں تک ان کی مرمت کی ضرورت پیش نہیں آتی اور آج یہ حال ہے کہ سڑک بچھائے ایک برس بھی نہیں گزرتا کے جگہ جگہ ان پر کھڈ پڑ جاتے ہیں اور راراہوں کا گزر مشکل بن جاتا ہے ,0
Kamine saale police waale,1, کمینے سالے پولیس والے ,1
Jaani grand party hogi I am overexicted for your day,0, جانی گرینڈ پارٹی ہوگی آئی ایم اووایکسائٹڈ فور یور ڈے ,0
yaad rahay ke congress party ke baaz senior qaideen ne Mr,0, یاد رہے کہ کانگریس پارٹی کے بعض سینیر قائدین نے مسٹر ,1
"Ek pyar aur wafa ki tasveer maanta hoon
Tasveer kya tumhe main taqdeer manta hoon
Dekhi nazar ne khushiyaan, ya dekhe gum ke saaye
Mujhe tum yaad aaye",0, ایک پیار اور وفا کی تصویر مانتا ہوں تصویر کیا تمہیں میں تقدیر مانتا ہوں دیکھی نظر نے خوشیاں ، یہ دیکھے غم کے سائے مجھے تم یاد آئے ,0
 aalmi yaum-e- khawateen' ' ke mauqe par german dar-ul-hukumat duniya ka woh pehla shehar ban gaya jis ne aalmi yaum-e- khawateen par aam tateel ka aelaan kiya,0, عالمی یوم خواتین ’ ’ کے موقع پر جرمن دارلحوکومت دنیا کا وہ پہلا شہر بن گیا جس نے عالمی یوم خواتین پر عام تعطیل کا اعلان کیا ,0
0.236111,0, 0.236111 ,0
Haha Chlo degree lekar phr mar jana,1, ہا ہا چلو ڈگری لیکر پھر مر جانا ,0
Chah gyi really bht bht acha likha hy I couldn't read last three lessons but jtna prha it gave me a lesson k doosron ki jeet sy b seekhna chaye aur haar sy bhi (y) ...your thoughts are sooooo amazing every time with a new n wonderful idea n I really love this one :* :* ...keep shining :),0, چاہ گئی ریلی بہت بہت اچھا لکھا ہے آئی کڈن ' ٹی ریڈ لاسٹ تھری لیسنز بٹ جتنا پڑا اٹ گیو میں آ لیسن کے دوسروں کی جیت سے بی سیکھنا چائے اور ہار سے بھی ( وائے ) . . . یور تھوٹس آر سووو امیزنگ ایوری ٹائم ود آ نیو ں ونڈر فل آئیڈیا ں آئی ریلی لو دس ون : * : * . . . کیپ شائینگ :) ,0
Tu lafzon ki tarhan muj se ktabon main mila ker logon ka tujhe dar to khawabon main mila kerphool ka khushboo se taluk hi zaroritu mehak ban ker muj se ghulabon main mila kerjise chu ker main mehsoos ker sakoon tu masti ki tarhan muj se sharbon main mila ker,0, تو لفظوں کی طرح مجھ سے کتابوں میں ملا کر لوگوں کا تجھے در تو خوابوں میں ملا کیرپحول کا خوشبو سے تعلق ہی زاروریتو مہک بن کر مجھ سے گھولابون میں ملا کیرجیسی چھو کر میں محسوس کر سکون تو مستی کی طرح مجھ سے شاربون میں ملا کر ,0
 ziyada se ziyada 21 TB memory ki gunjaish ke bawajood sirf 5TB memory ke mukammal ho janey ke baad hi server mein technical masla paeda hona tashweesh ka baais hai ,0, زیادہ سے زیادہ 21 تب میموری کی گنجائش کے باوجود صرف 5تب میموری کے مکمل ہو جانے کے بعد ہی سرور میں ٹیکنیکل مسئلہ پیدا ہونا تشویش کا باعث ہے ,0
Ghazni ki galiyo aur sadkon par Taliban ki darjanon lashain padi rehne ka daawa,0, غزنی کی گلیوں اور سڑکوں پر طالبان کی درجنوں لاشیں پڑی رہنے کا دعویٰ ,0
allah karien ye APC kamyaab ho jaye,0, اللہ کریں یہ اے پی سی کامیاب ہو جائے ,0
Mehboob Nagar rawaangi se qabal Press Conference se khitaab karte huwe Mr,0, محبوب نگر روانگی سے قبل پریس کانفرنس سے خطاب کرتے ہوئے مسٹر ,0
Yer qasam sa agli funny ha hahahahahaha,0, یار قسم سے اگلی فنی ہے ہاہاہاہاہا ,0
Zakir Kuti,1, ذاکر کتی ,0
Morwe Tufan Land,1, موروے طوفان لنڈ ,0
Tu ne ye kinse tafseer se sunaya jahil ?,1, تو نے یہ کنسی تفسیر سے سنایا جاہل ؟ ,0
Call kariye na ... Humne kab Mana Kiya...,0, کال کرئیے نا . . . ہم نے کب منع کیا . . . ,0
Meri traf se thnx bol do aunti ko,0, میری طرف سے تھینکس بول دو آنٹی کو ,0
Gd bakshi b India ki randi hai,1, جی ڈی بکشی بھی انڈیا کی رنڈی ہے ,0
Bhosdike sun,1, بھوسڑیکی سن ,0
Wrna to jo tum chution ki kitaabon me likha hota hai whi maante..,1, ورنہ تو جو تم چوتیوں کی کتابوں میں لکھا ہوتا ہے وہی مانتے . . ,0
"Seeney se lipt ja mere khwabon se nikal kar,Ik bar milein Hum b hijabon se nikal kar.Kirnon ki tarha baant zamaney mein ujala,Khushbu ki tarha phel gulabon se nikal kar.",0, سینے سے لپٹ جا میرے خوابوں سے نکل کر ، اک بار ملیں ہم بی حیجابون سے نکل کر . کرنوں کی طرح بانٹ زمانے میں اجالا ، خوشبو کی طرح پھیل گلابوں سے نکل کر . ,0
nice video I liked It even I am Pakistani,0, نائس ویڈیو آئی لائک اٹ ایون آئی ایم پاکستانی ,0
admin laanti hai,1, ایڈمن لعنتی ہے ,0
"dil mein to ye hasarat hai, tere paas main aaoo
najaron se giraa hoo to, najar kaise milaaoo
badanaam hoo, naakaam hoo, kyaa muz mein rahaa hai",0, دل میں تو یہ حسرت ہے ، تیرے پاس میں آوں نظروں سے گرا ہوں تو ، نظر کیسے ملاوں بدنام ہوں ، ناکام ہوں ، کیا مز میں رہا ہے ,0
 registration ke liye riyasat bhar mein 76 help line mojood hain jis ke zariye talba apni matlooba madad haasil kar sakte hain,0, رجسٹریشن کے لیے ریاست بھر میں 76 ہیلپ لائن موجود ہیں جس کے ذریعے طلباء اپنی مطلوبہ مدد حاصل کر سکتے ہیں ,0
Yr is bandy sy lakh ikhtilaaf Qasm wali baat hy Ky Ye Bnda Ahl bait Sy Dill Sy muhabaat Krta hy,0, یار اس بندے سے لاکھ اختلاف قسم والی بات ہے کہ یہ بندہ اہل بیت سے دل سے محبت کرتا ہے ,0
aik aur qaidi naay jail hakkaam ko bataya ke woh jail se aajilana rihayi ki aas mein roza rakh raha hai,0, ایک اور قیدی نے جیل حکام کو بتایا کہ وہ جیل سے آجیلانا رہائی کی آس میں روزہ رکھ رہا ہے ,0
flstinyon ney May mein bhi aik kashti ke zareya Israel ki bahri naka bandi torney ki koshish ki thi lekin is ko bhi Gaza se chand kilometer door pakad liya gaya tha,0, فلسطینیوں نے مئى میں بھی ایک کشتی کے ذریعہ اسرائیل کی بحری ناکہ بندی توڑنے کی کوشش کی تھی لیکن اس کو بھی غزہ سے چند کلومیٹر دور پکڑ لیا گیا تھا ,1
Kia ghar ke mulazama ko fitrana dia ja skta hy ?,0, کیا گھر کے ملازمہ کو فطرانہ دیا جا سکتا ہے ؟ ,0
Aby oh kutty tujhy pakistan h mila hai manhoss,1, ابے او کتے تجھے پاکستان ہیں ملا ہے منحوس ,0
OMG,0, او ایم جی ,0
Apni savita bhabhi ko bhi koi chodo,1, اپنی سویتا بھابی کو بھی کوئی چودو ,0
Shailaja ney bataya ke pehlay marhala mein jismani mazoor 465 afraad mein 3,0, شیلاجہ نے بتایا کہ پہلے مرحلہ میں جسمانی معذور 465 افراد میں 3 ,0
Aapko kisiki nazar naa lage,0, آپکو کس کی نظر نا لگے ,0
